Tgl Struk,Qty
2021-08-30,1
2021-08-30,1
2021-08-30,1
2021-08-30,1
2021-08-30,2
2021-08-30,2
2021-08-30,1
2021-08-30,1
2021-08-30,1
2021-08-30,1
2021-08-30,1
2021-08-31,1
2021-08-31,1
2021-08-31,1
2021-08-31,1
2021-08-31,1
2021-08-31,3
2021-08-31,1
2021-08-31,2
2021-08-31,2
2021-08-31,1
2021-08-31,1
2021-08-31,1
2021-08-31,1
2021-08-31,1
2021-08-31,2
2021-08-31,1
2021-08-31,1
2021-09-01,1
2021-09-01,1
2021-09-01,1
2021-09-01,1
2021-09-01,1
2021-09-01,3
2021-09-01,2
2021-09-01,1
2021-09-01,2
2021-09-01,1
2021-09-01,1
2021-09-01,2
2021-09-01,1
2021-09-01,1
2021-09-01,1
2021-09-01,2
2021-09-01,1
2021-09-01,1
2021-09-01,1
2021-09-01,1
2021-09-01,1
2021-09-01,4
2021-09-01,1
2021-09-01,1
2021-09-01,1
2021-09-01,1
2021-09-02,1
2021-09-02,1
2021-09-02,1
2021-09-02,1
2021-09-02,1
2021-09-02,1
2021-09-02,1
2021-09-02,1
2021-09-02,1
2021-09-02,1
2021-09-02,1
2021-09-02,1
2021-09-02,1
2021-09-02,1
2021-09-02,1
2021-09-02,1
2021-09-02,1
2021-09-03,1
2021-09-03,1
2021-09-03,1
2021-09-03,1
2021-09-03,1
2021-09-03,1
2021-09-03,1
2021-09-03,2
2021-09-03,1
2021-09-03,1
2021-09-03,1
2021-09-03,1
2021-09-03,1
2021-09-03,1
2021-09-03,1
2021-09-03,1
2021-09-03,2
2021-09-03,1
2021-09-04,1
2021-09-04,2
2021-09-04,1
2021-09-04,2
2021-09-04,1
2021-09-04,1
2021-09-04,1
2021-09-04,2
2021-09-04,1
2021-09-04,1
2021-09-04,2
2021-09-04,1
2021-09-04,1
2021-09-04,1
2021-09-04,1
2021-09-04,1
2021-09-04,1
2021-09-04,1
2021-09-04,1
2021-09-04,1
2021-09-04,1
2021-09-04,1
2021-09-04,1
2021-09-04,2
2021-09-04,2
2021-09-04,1
2021-09-04,1
2021-09-05,1
2021-09-05,3
2021-09-05,1
2021-09-05,2
2021-09-05,1
2021-09-05,5
2021-09-05,2
2021-09-05,5
2021-09-05,5
2021-09-05,1
2021-09-05,1
2021-09-05,1
2021-09-05,1
2021-09-05,1
2021-09-05,1
2021-09-05,2
2021-09-05,3
2021-09-05,1
2021-09-05,1
2021-09-05,1
2021-09-05,1
2021-09-05,1
2021-09-05,2
2021-09-05,1
2021-09-05,2
2021-09-05,1
2021-09-05,2
2021-09-05,2
2021-09-05,2
2021-09-05,1
2021-09-05,1
2021-09-05,1
2021-09-05,1
2021-09-05,1
2021-09-05,1
2021-09-05,1
2021-09-05,1
2021-09-05,1
2021-09-06,1
2021-09-06,1
2021-09-06,3
2021-09-06,1
2021-09-06,1
2021-09-06,1
2021-09-06,1
2021-09-06,1
2021-09-06,1
2021-09-06,1
2021-09-06,1
2021-09-06,1
2021-09-06,1
2021-09-06,1
2021-09-06,1
2021-09-06,1
2021-09-06,1
2021-09-06,1
2021-09-06,1
2021-09-06,1
2021-09-06,1
2021-09-06,1
2021-09-06,2
2021-09-07,1
2021-09-07,1
2021-09-07,1
2021-09-07,1
2021-09-07,1
2021-09-07,1
2021-09-07,1
2021-09-07,1
2021-09-07,1
2021-09-07,1
2021-09-07,1
2021-09-07,1
2021-09-07,1
2021-09-07,1
2021-09-08,1
2021-09-08,1
2021-09-08,3
2021-09-08,1
2021-09-08,1
2021-09-08,5
2021-09-08,2
2021-09-08,1
2021-09-08,1
2021-09-08,1
2021-09-08,1
2021-09-08,1
2021-09-08,2
2021-09-08,1
2021-09-08,1
2021-09-09,2
2021-09-09,1
2021-09-09,1
2021-09-09,2
2021-09-09,1
2021-09-09,1
2021-09-09,1
2021-09-09,1
2021-09-09,1
2021-09-09,1
2021-09-09,1
2021-09-09,2
2021-09-09,1
2021-09-09,1
2021-09-09,1
2021-09-09,1
2021-09-09,1
2021-09-09,1
2021-09-09,2
2021-09-09,1
2021-09-09,2
2021-09-09,1
2021-09-09,1
2021-09-09,1
2021-09-09,1
2021-09-09,1
2021-09-09,1
2021-09-09,1
2021-09-09,1
2021-09-10,1
2021-09-10,1
2021-09-10,1
2021-09-10,2
2021-09-10,1
2021-09-10,1
2021-09-10,1
2021-09-10,1
2021-09-10,2
2021-09-10,1
2021-09-11,1
2021-09-11,1
2021-09-11,1
2021-09-11,1
2021-09-11,1
2021-09-11,1
2021-09-11,2
2021-09-11,1
2021-09-11,1
2021-09-11,1
2021-09-11,1
2021-09-11,1
2021-09-11,7
2021-09-11,1
2021-09-11,1
2021-09-12,2
2021-09-12,1
2021-09-12,2
2021-09-12,1
2021-09-12,1
2021-09-12,1
2021-09-12,1
2021-09-12,3
2021-09-12,2
2021-09-12,1
2021-09-12,1
2021-09-12,1
2021-09-12,1
2021-09-12,3
2021-09-12,1
2021-09-12,2
2021-09-12,1
2021-09-12,1
2021-09-12,1
2021-09-12,1
2021-09-13,1
2021-09-13,1
2021-09-13,1
2021-09-13,2
2021-09-13,2
2021-09-13,1
2021-09-13,1
2021-09-13,1
2021-09-13,4
2021-09-13,1
2021-09-13,1
2021-09-13,2
2021-09-13,1
2021-09-13,1
2021-09-13,1
2021-09-13,1
2021-09-13,1
2021-09-14,1
2021-09-14,1
2021-09-14,1
2021-09-14,1
2021-09-14,1
2021-09-14,1
